Track,Course Code,Course Title,Course Description,Outcome Type,Period,Outcome Number,Outcome Text
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,"This course provides the concepts of abstract data types of common data structures such as lists, linked lists, stacks, queues, trees and graphs used in solving computer problems. This course also includes the study of time and space complexities of algorithms and the choice of appropriate data structures.",CLO,Course Level,CLO1,Understand the importance of data structures and algorithms in application of daily living.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,CLO,Course Level,CLO2,Evaluate the running time of algorithms and data structures using big-oh notations.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,CLO,Course Level,CLO3,Analyze the features of each data structure and its operations and use it to design algorithms to solve real-world problems.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,CLO,Course Level,CLO4,Apply the most appropriate data structures given a specified real world problem.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,CLO,Course Level,CLO5,Create codes written in Java for various algorithms and data structures.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,CLO,Course Level,CLO6,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Midterm,TLO1,Distinguish the differences between algorithms and data structures.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Midterm,TLO2,Identify the criteria for efficient algorithms.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Midterm,TLO3,Calculate the running time of codes following specific rules.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Midterm,TLO4,Construct pseudo-language implementations of lists and its operations.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Midterm,TLO5,Write algorithms for linked list and its variations.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Midterm,TLO6,Understand the concept of a stacks and its operations.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Midterm,TLO7,"Collaboration, Skilled Communication, Knowledge Construction, Self-Regulation, Real-World Problem- Solving, Use of ICT."
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Final,TLO8,Apply various applications of queue operations to real life scenarios.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Final,TLO9,Identify the different terminologies used in trees.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Final,TLO10,Explore different applications of binary trees.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Final,TLO11,Discover the varied ways of graph representations and applications.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Final,TLO12,Determine the steps in creating recursive routines.
IT Network Technology,S-ITCS214 (CS),Data Structures and Algorithms,This course provides the concepts of abstract data types of common data structures...,TLO,Final,TLO13,Use and apply Java structure and elements to implement the algorithms and data structures covered in this course.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,"This course studies the social impact, implications, and effects of computers, and the responsibilities of computer professionals in directing the emerging technology.",CLO,Course Level,CLO1,"Understand the basic cultural, social, legal and ethical issues inherent in the discipline of computing."
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,CLO,Course Level,CLO2,Develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,CLO,Course Level,CLO3,"Determine the basic legal rights of software and hardware vendors and users, and to appreciate also the ethical values which are the basis of those rights."
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,CLO,Course Level,CLO4,"Develop an understanding of the relevant social, ethical, legal and professional issues by exposing them to the larger societal context of computing."
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,CLO,Course Level,CLO5,"Justify the responsibilities that they will bear, as future practitioners, and the possible consequences of failure, understanding their own limitations as well as the limitations of their tools."
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,CLO,Course Level,CLO6,Evaluate long-term commitment to remaining current in their chosen specialization and in the discipline of computing as a whole.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,CLO,Course Level,CLO7,Relate the 21st century skills in all learning activities.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO1,Discuss motivating scenarios in order to establish reasons why it is relevant to look into social issues and professional practice (SIPP).
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO2,Explore relevant SIPP issues.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO3,Describe positive and negative ways in which computer technology alters modes of social interaction at the personal level.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO4,Identify developers' assumptions and values embedded in hardware and software design.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO5,Interpret the social context of a given design and its implementation.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO6,Evaluate stakeholder positions in a given situation.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO7,Analyze an argument to identify premises and conclusion.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Midterm,TLO8,Evaluate ethical/social tradeoffs in technical decisions.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO9,Identify ethical issues that arise in software development and determine how to address them technically and ethically.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO10,"Explain the ethical responsibility of ensuring software correctness, reliability and safety."
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO11,Describe the mechanisms that typically exist for a professional to keep up-to-date.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO12,Describe the strengths and weaknesses of relevant professional codes as expressions of professionalism and guides to decision-making.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO13,Discuss the philosophical bases of intellectual property.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO14,Discuss the rationale for the legal protection of intellectual property.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO15,Discuss the issues involved in securing software patents.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO16,Discuss the philosophical basis for the legal protection of personal privacy.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO17,Describe the ramifications of differential privacy.
IT Network Technology,S-ITCS329,Social Issues and Professional Practice,This course studies the social impact...,TLO,Final,TLO18,Identify strategies to enable appropriate freedom of expression.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,"This course focuses on the development of applications using web, mobile and emerging technologies with emphasis on requirements management, interface, design, usability, testing and deployment, including ethical and legal considerations.",CLO,Course Level,CLO1,Interpret the difference of front-end and back-development in web application.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,CLO,Course Level,CLO2,Understand Web Development concept by dealing client-based case study.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,CLO,Course Level,CLO3,Implement Object Oriented way of programming.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,CLO,Course Level,CLO4,"Manage website using Model, View and Control."
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,CLO,Course Level,CLO5,Develop and deploy complete Web Application in live server for pilot testing.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,CLO,Course Level,CLO6,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Midterm,TLO1,Learn and differentiate different web development software and its features.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Midterm,TLO2,Obtain tools in developing Web Application Project.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Midterm,TLO3,Design web application both front-end and back-end.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Midterm,TLO4,Design and Implements server-side controls.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Midterm,TLO5,Design and Implement Master page.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Midterm,TLO6,Create and Design Web application report tools.
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Midterm,TLO7,"Collaboration, Skilled Communication, Knowledge Construction, Self-Regulation, Real-World Problem Solving, Use of ICT."
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Final,TLO5,Understand and learn APIs and JSON.
