Track,Course Code,Course Title,Course Description,Outcome Type,Period,Outcome Number,Outcome Text
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO1,understand the structure of mobile game programming
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO2,remember the basic framework for mobile game development
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO3,understand how physics affects in development of the game
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO4,apply the design learned and report the expected effectiveness of the mobile game
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO5,demonstrate game programming capability
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO6,interpret efficient game loop
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO7,evaluate mobile game application
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO8,design the needs of game programming in the industry
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO9,develop an appreciation in virtual simulation technology
CS Game Development,S-CSGD415LA,Advanced Game Programming Lab,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO10,value the Lasallian values and sensitivity in developing a game to real-world problems
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO1,understand the structure of mobile game programming
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO2,remember the basic framework for mobile game development
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO3,understand how physics affects in development of the game
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO4,apply the design learned and report the expected effectiveness of the mobile game
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO5,demonstrate game programming capability
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Midterm,CLO6,interpret efficient game loop
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO7,evaluate mobile game application
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO8,design the needs of game programming in the industry
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO9,develop an appreciation in virtual simulation technology
CS Game Development,S-CSGD415,Advanced Game Programming,"This course deals with advanced game programming with a strong focus on developing good programming skills, design patterns, and practical problem-solving.",CLO,Final,CLO10,value the Lasallian values and sensitivity in developing a game to real-world problems
CS Game Development,S-CSGD312,Game Design Principles and Practice,"This course gives an overview of the game development process from ideas to creation. It discourses the history of game development process, exposure to the position and job responsibilities that each member of a game development team has along with the industry requirements ideas in Game Design Document (GDD).",CLO,General,CLO1,demonstrate knowledge in concepts of game and game development
